Country,Year,Emission.Source,Application,IEF,Direct.EM,FracGASF,FracGASM,FracLEACH-(H),T.Frac.GAS,T.Frac.Leach,IEF.GAS,IEF.Leach,EM.GAS,EM.Leach,N2O.EM,Other carbon-containing fertlizers,Urea,kt.CO2eq,kg.CO2eq.kg.N,Total.Area.kha,EM.Ha
AUT,1995,Inorganic N emissions,127368000,0.01,2.00149714285714,0.04746460883564,0.15825310600512,0.15154,6045472.2981778,19301346.72,0.01,0.0075,0.0950002789713654,0.227480157771429,2.32397757959993,28.7566394641807,19.7877855102041,741.089743695165,5.8184924289866,1493.201,0.496309434359584
AUT,1995,Organic N emissions,158643852.777019,0.01,2.49297482935315,0.04746460883564,0.15825310600512,0.15154,25105882.4505822,24040889.4498295,0.01,0.0075,0.394521009937721,0.283339054230133,3.170834893521,0,0,944.908798269259,5.95616395926397,1493.201,0.632807504327454
AUT,1996,Inorganic N emissions,126650000,0.01,1.99021428571429,0.04731473982744,0.15759165078695,0.15154,5992411.79914528,19192541,0.01,0.0075,0.0941664711294258,0.226197804642857,2.31057856148657,28.8128637188209,19.368142244898,736.733417286718,5.81708185777116,1487.853,0.495165461431148
AUT,1996,Organic N emissions,155997899.754421,0.01,2.45139556756948,0.04731473982744,0.15759165078695,0.15154,24583966.5415964,23639921.728785,0.01,0.0075,0.386319474225086,0.278613363232108,3.11632840502667,0,0,928.665864697949,5.9530664589709,1487.853,0.624165065162989
AUT,1997,Inorganic N emissions,128550000,0.01,2.02007142857143,0.04734199278094,0.15746900990493,0.15154,6085813.17198984,19480467,0.01,0.0075,0.0956342069884117,0.229591218214286,2.34529685377413,29.5824389434786,20.1734275510204,748.654328919189,5.82383764231186,1482.505,0.504992785130026
AUT,1997,Organic N emissions,154264461.616227,0.01,2.42415582539786,0.04734199278094,0.15746900990493,0.15154,24291872.0342243,23377236.513323,0.01,0.0075,0.381729417680668,0.275517430335593,3.08140267341412,0,0,918.257996677408,5.95249214924053,1482.505,0.619396222392105
AUT,1998,Inorganic N emissions,129650000,0.01,2.03735714285714,0.04770650817179,0.15694229469633,0.15154,6185148.78447257,19647161,0.01,0.0075,0.097195195184569,0.231555826071429,2.36610816411314,29.92559441505,21.44857,756.474397320765,5.83474274832831,1479.191,0.511410897795325
AUT,1998,Organic N emissions,154681388.075538,0.01,2.43070752690132,0.04770650817179,0.15694229469633,0.15154,24276051.9913885,23440417.548967,0.01,0.0075,0.381480817007533,0.276262063969969,3.08845040787882,0,0,920.358221547889,5.95002561716369,1479.191,0.622203773243542
AUT,1999,Inorganic N emissions,123500000,0.01,1.94071428571429,0.0486893157845,0.15671521304669,0.15154,6013130.49938575,18715190,0.01,0.0075,0.0944920507046332,0.220571882142857,2.25577821856178,27.7412719324767,21.5671410204082,721.530322084296,5.84235078610766,1475.877,0.488882421830746
AUT,1999,Organic N emissions,150856450.317518,0.01,2.37060136213242,0.0486893157845,0.15671521304669,0.15154,23641500.7509772,22860786.4811167,0.01,0.0075,0.371509297515357,0.269430697813161,3.01154135746094,0,0,897.439324523359,5.94896222623863,1475.877,0.608071895234738
AUT,2000,Inorganic N emissions,120550000,0.01,1.89435714285714,0.04803465110877,0.15487064327384,0.15154,5790577.19116222,18268147,0.01,0.0075,0.0909947844325492,0.215303161071429,2.20065508836112,27.3728224657764,19.359997755102,702.528036552492,5.82769005850263,1473.875375,0.476653622462816
AUT,2000,Organic N emissions,148647727.343089,0.01,2.33589285824854,0.04803465110877,0.15487064327384,0.15154,23021169.1548186,22526076.6015717,0.01,0.0075,0.36176122957572,0.265485902804238,2.9631399906285,0,0,883.015717207293,5.94032436950235,1473.875375,0.599111520678804
AUT,2001,Inorganic N emissions,119350000,0.01,1.8755,0.04671060981298,0.15409147925961,0.15154,5574911.28117916,18086299,0.01,0.0075,0.087605748704244,0.2131599525,2.17626570120424,27.855466473503,16.4559259183674,692.838571350735,5.80509904776485,1471.87375,0.470718749723429
AUT,2001,Organic N emissions,147970322.748615,0.01,2.3252479289068,0.04671060981298,0.15409147925961,0.15154,22800965.918856,22423422.7093251,0.01,0.0075,0.358300893010594,0.264276053359903,2.9478248752773,0,0,878.451812832635,5.93667565573285,1471.87375,0.596825517699894
AUT,2002,Inorganic N emissions,122350000,0.01,1.92264285714286,0.04634007664387,0.15387632939797,0.15154,5669708.37737749,18540919,0.01,0.0075,0.0890954173587892,0.218517973928571,2.23025624843022,29.172077324263,16.7742883673469,710.562727723816,5.80762343869077,1469.872125,0.483418057692478
AUT,2002,Organic N emissions,144838840.36242,0.01,2.27603891998089,0.04634007664387,0.15387632939797,0.15154,22287269.1092277,21948877.8685211,0.01,0.0075,0.350228514573579,0.258683203450428,2.8849506380049,0,0,859.715290125459,5.9356681396665,1469.872125,0.584891212985932
AUT,2003,Inorganic N emissions,1.11e+08,0.01,1.74428571428571,0.04941795102084,0.15331914328657,0.15154,5485392.56331324,16820940,0.01,0.0075,0.0861990259949223,0.198246792857143,2.02873153313778,24.4252049298732,19.0997579591837,648.086959764114,5.83862125913616,1467.8705,0.441515078996488
AUT,2003,Organic N emissions,144500283.661181,0.01,2.27071874324714,0.04941795102084,0.15331914328657,0.15154,22154659.6955986,21897572.9860154,0.01,0.0075,0.348144652359407,0.258078538763753,2.8769419343703,0,0,857.328696442349,5.93305891670484,1467.8705,0.584062896857965
AUT,2004,Inorganic N emissions,97600000,0.01,1.53371428571429,0.05355836036375,0.1528660803568,0.15154,5227295.971502,14790304,0.01,0.0075,0.0821432224093172,0.174314297142857,1.79017180526646,18.9515487612329,21.1472732653061,573.570019995945,5.87674200815518,1465.97904166667,0.39125390179102
AUT,2004,Organic N emissions,143503184.498499,0.01,2.25505004211926,0.05355836036375,0.1528660803568,0.15154,21936769.3330042,21746472.5789025,0.01,0.0075,0.34472066094721,0.256297712537066,2.85606841560354,0,0,851.108387849854,5.93093728772796,1465.97904166667,0.580573366780353
AUT,2005,Inorganic N emissions,100250000,0.01,1.57535714285714,0.05324734738961,0.15227430696398,0.15154,5338046.5758084,15191885,0.01,0.0075,0.0838835890484178,0.179047216071429,1.83828794797699,20.0266756613757,21.8936457142857,589.730129872804,5.88259481169879,1464.08758333333,0.402797029758389
AUT,2005,Organic N emissions,143033840.725122,0.01,2.2476746399662,0.05324734738961,0.15227430696398,0.15154,21780378.9688143,21675348.223485,0.01,0.0075,0.342263098081367,0.255459461205359,2.84539719925293,0,0,847.928365377372,5.92816609746846,1464.08758333333,0.579151394376878
AUT,2006,Inorganic N emissions,101700000,0.01,1.59814285714286,0.05457035024457,0.15299491105397,0.15154,5549804.61987277,15411618,0.01,0.0075,0.0872112154551435,0.181636926428571,1.86699099902657,20.0834314856807,24.8787067346939,601.325455930294,5.91273801308057,1462.064125,0.411285281984669
AUT,2006,Organic N emissions,142454304.447636,0.01,2.23856764132001,0.05457035024457,0.15299491105397,0.15154,21794783.6382212,21587525.2959948,0.01,0.0075,0.342489457172048,0.254424405274224,2.83548150376628,0,0,844.973488122352,5.93154058347848,1462.064125,0.577931893460796
AUT,2007,Inorganic N emissions,103500000,0.01,1.62642857142857,0.05567526597475,0.15368642517205,0.15154,5762390.02838663,15684390,0.01,0.0075,0.0905518433032184,0.184851739285714,1.9018321540175,20.3126680859998,27.7152206122449,614.773870595461,5.93984416034261,1460.04066666667,0.421066265228772
AUT,2007,Organic N emissions,144195020.546196,0.01,2.26592175144022,0.05567526597475,0.15368642517205,0.15154,22160817.2353552,21851313.4135705,0.01,0.0075,0.348241413698438,0.257533336659939,2.8716965017986,0,0,855.765557535982,5.93477884530568,1460.04066666667,0.586124466991545
AUT,2008,Inorganic N emissions,118850000,0.01,1.86764285714286,0.05123767164957,0.15499905146793,0.15154,6089597.2755514,18010529,0.01,0.0075,0.0956936714729505,0.212266948928571,2.17560347754438,26.8797593600403,26.1762802040816,701.385875872348,5.90143774398273,1453.42716666667,0.482573803461322
AUT,2008,Organic N emissions,142098846.479009,0.01,2.23298187324158,0.05123767164957,0.15499905146793,0.15154,22025186.4189334,21533659.195429,0.01,0.0075,0.346110072297525,0.253789554803271,2.83288150034238,0,0,844.198687102028,5.94092568673127,1453.42716666667,0.580833155223138
AUT,2009,Inorganic N emissions,110350000,0.01,1.73407142857143,0.05582520649888,0.15597840011237,0.15154,6160311.53715141,16722439,0.01,0.0075,0.0968048955838078,0.197085888214286,2.02796221236952,22.5163892584194,31.4271369387755,658.276265483313,5.96534903020673,1446.81366666667,0.454983444412661
AUT,2009,Organic N emissions,144170398.260392,0.01,2.26553482980616,0.05582520649888,0.15597840011237,0.15154,22487468.0642192,21847582.1523798,0.01,0.0075,0.353374498152015,0.257489361081619,2.87639868903979,0,0,857.166809333859,5.94551183652621,1446.81366666667,0.592451418646532
AUT,2010,Inorganic N emissions,88464500,0.01,1.39015642857143,0.06090539804264,0.15708223452399,0.15154,5387965.58514313,13405910.33,0.01,0.0075,0.0846680306236777,0.157998228889286,1.63282268808439,14.8931778869573,28.8459936734694,530.320332609576,5.99472480610387,1440.52429843333,0.368143968960701
AUT,2010,Organic N emissions,143677621.141684,0.01,2.25779118936932,0.06090539804264,0.15708223452399,0.15154,22569201.780027,21772906.7078108,0.01,0.0075,0.35465888511471,0.25660925762777,2.8690593321118,0,0,854.979680969316,5.9506809353852,1440.52429843333,0.593519791300408
AUT,2011,Inorganic N emissions,103690000,0.01,1.62941428571429,0.05517918506311,0.15739019643971,0.15154,5721529.69919388,15713182.6,0.01,0.0075,0.0899097524159038,0.185191080642857,1.90451511877305,21.3715655748719,27.4706599319728,616.387730901214,5.94452436012358,1438.2959302,0.428554178565675
AUT,2011,Organic N emissions,142410971.837413,0.01,2.2378867003022,0.05517918506311,0.15739019643971,0.15154,22414090.8326604,21580958.6722416,0.01,0.0075,0.352221427370378,0.254347012922847,2.84445514059543,0,0,847.647631897437,5.95212307704195,1438.2959302,0.589341604950219
AUT,2012,Inorganic N emissions,107236000,0.01,1.68513714285714,0.05596908446031,0.15826493525451,0.15154,6001900.7411858,16250543.44,0.01,0.0075,0.0943155830757769,0.191524261971429,1.97097698790435,22.1994711934156,30.6262785714286,640.176892160339,5.96979458540359,1436.06756196667,0.445784661609951
AUT,2012,Organic N emissions,141543704.291319,0.01,2.22425821029214,0.05596908446031,0.15826493525451,0.15154,22401405.1953491,21449532.9483065,0.01,0.0075,0.3520220816412,0.252798066890755,2.8290783588241,0,0,843.065350929581,5.95621935394894,1436.06756196667,0.587065242094193
AUT,2013,Inorganic N emissions,104863000,0.01,1.64784714285714,0.05632963070144,0.15955536864164,0.15154,5906894.0642451,15890939.02,0.01,0.0075,0.0928226210095659,0.187286067021429,1.92795583088813,21.5965037960863,30.2756472108844,626.402988611635,5.97353679192503,1433.83919373333,0.436871157762574
AUT,2013,Organic N emissions,140901823.718219,0.01,2.21417151557201,0.05632963070144,0.15955536864164,0.15154,22481642.4256398,21352262.3662589,0.01,0.0075,0.353282952402911,0.251651663602337,2.81910613157726,0,0,840.093627210023,5.96226226915327,1433.83919373333,0.585905051892637
AUT,2014,Inorganic N emissions,111810000,0.01,1.75701428571429,0.05651126639994,0.16056594324091,0.15154,6318524.69617729,16943687.4,0.01,0.0075,0.0992911023685003,0.199693458642857,2.05599884672565,23.5937475686571,34.0398748979592,670.321278790859,5.99518181549825,1427.61568216667,0.46953902731968
AUT,2014,Organic N emissions,141245355.940618,0.01,2.21956987906685,0.05651126639994,0.16056594324091,0.15154,22679193.8050034,21404321.2392413,0.01,0.0075,0.356387331221482,0.252265214605343,2.82822242489368,0,0,842.810282618315,5.96699464563385,1427.61568216667,0.590362163393439
AUT,2015,Inorganic N emissions,120933620,0.01,1.90038545714286,0.05471308800458,0.16141759243497,0.15154,6616651.79377244,18326280.7748,0.01,0.0075,0.103975956759281,0.215988309131571,2.22034972303371,27.1515201478122,34.9043637755102,723.720101387369,5.98444089730688,1421.3921706,0.509162859031277
AUT,2015,Organic N emissions,141640763.150177,0.01,2.22578342093136,0.05471308800458,0.16141759243497,0.15154,22863310.9783534,21464241.2477778,0.01,0.0075,0.35928060108841,0.252971414705953,2.83803543672572,0,0,845.734560144265,5.97098279714549,1421.3921706,0.595004375032728
AUT,2016,Inorganic N emissions,126437500,0.01,1.986875,0.05552636537264,0.16220019745715,0.15154,7020614.82180317,19160338.75,0.01,0.0075,0.110323947199764,0.225818278125,2.32301722532476,28.5505582010582,39.2592357142857,760.068927062124,6.01142008551358,1415.32957048,0.537026105378658
AUT,2016,Organic N emissions,142285356.750518,0.01,2.2359127489367,0.05552636537264,0.16220019745715,0.15154,23078712.9601951,21561922.9619735,0.01,0.0075,0.362665489374494,0.254122663480402,2.8527009017916,0,0,850.104868733896,5.9746476246636,1415.32957048,0.600640929480183
AUT,2017,Inorganic N emissions,120163290,0.01,1.88828027142857,0.05643826061816,0.16341846987843,0.15154,6781807.07775554,18209544.9666,0.01,0.0075,0.106571254079016,0.214612494249214,2.2094640197568,26.3757029982363,38.3035085714286,723.099489457191,6.01764057439832,1409.45580231,0.513034526000802
AUT,2017,Organic N emissions,142714042.33222,0.01,2.24264923664917,0.05643826061816,0.16341846987843,0.15154,23322110.4280969,21626885.9750246,0.01,0.0075,0.366490306727237,0.254888298991362,2.86402784236777,0,0,853.480297025595,5.98035262037356,1409.45580231,0.60553888644596
AUT,2018,Inorganic N emissions,115419850,0.01,1.8137405,0.05427432659831,0.16367725361836,0.15154,6264334.63482795,17490724.069,0.01,0.0075,0.0984395442615821,0.2061406765275,2.11832072078908,26.2967765432099,32.0254235714286,689.581774909785,5.97455095384187,1403.58203414,0.49130136902351
AUT,2018,Organic N emissions,140579982.890974,0.01,2.20911401685815,0.05427432659831,0.16367725361836,0.15154,23009745.5133107,21303490.6072982,0.01,0.0075,0.361581715209168,0.251076853586014,2.82177258565333,0,0,840.888230524693,5.98156446765852,1403.58203414,0.599101591550308
AUT,2019,Inorganic N emissions,105684985,0.01,1.66076405,0.05280506845784,0.16364556442516,0.15154,5580702.86789079,16015502.6269,0.01,0.0075,0.0876967593525696,0.18875413810275,1.93721494745532,24.6116774250441,26.7685864285714,628.670318195301,5.94853013600088,1397.70826597,0.449786506599078
AUT,2019,Organic N emissions,138823455.293473,0.01,2.181511440326,0.05280506845784,0.16364556442516,0.15154,22717842.6969514,21037306.4151729,0.01,0.0075,0.356994670952093,0.247939682750252,2.78644579402835,0,0,830.360846620447,5.98141607169381,1397.70826597,0.594087383495713
AUT,2020,Inorganic N emissions,106955285,0.01,1.68072590714286,0.05132135889034,0.16358835495976,0.15154,5489090.5667036,16208003.8889,0.01,0.0075,0.0862571374767708,0.191022902976321,1.95800594759595,25.4656149911817,24.5388314285714,633.490218803347,5.92294451651778,1391.8344978,0.45514766289
AUT,2020,Organic N emissions,138193416.452533,0.01,2.17161082996838,0.05132135889034,0.16358835495976,0.15154,22606833.6637389,20941830.3292169,0.01,0.0075,0.355250243287326,0.246814428880056,2.77367550213576,0,0,826.555299636457,5.98114816794014,1391.8344978,0.593860333928315
AUT,2021,Inorganic N emissions,111079645,0.01,1.74553727857143,0.05009707953055,0.16257307130036,0.15154,5564765.80979026,16833009.4033,0.01,0.0075,0.0874463198681327,0.198389039396036,2.0313726378356,27.0617343915344,23.1193914285714,655.530171895114,5.90144280615152,1390.51325840192,0.471430364244421
AUT,2021,Organic N emissions,138301101.254001,0.01,2.17330301970573,0.05009707953055,0.16257307130036,0.15154,22484034.795085,20958148.8840313,0.01,0.0075,0.353320546779907,0.247006754704655,2.77363032119029,0,0,826.541835714707,5.97639373960369,1390.51325840192,0.594414926086091
BEL,1990,Inorganic N emissions,210271440.84,0.01,3.30426549891429,0.06394754372694,0.15604442931773,0.3,13446342.1576426,63081432.252,0.01,0.00750003099835,0.211299662477241,0.743462810059067,4.2590279714506,0,17.0245811280858,1286.21491662036,6.11692634759217,960.042146202731,1.33974838678463
BEL,1990,Organic N emissions,179702477.6836,0.01,2.82389607788514,0.06394754372694,0.15604442931773,0.3,28041570.5771195,53910743.30508,0.01,0.00750003099835,0.440653251926163,0.635379243607727,3.89992857341903,0,0,1162.17871487887,6.46723812525894,960.042146202731,1.21054968209016
BEL,1991,Inorganic N emissions,206378746.46,0.01,3.24309458722857,0.06392374310821,0.1562257340944,0.3,13192501.9717034,61913623.938,0.01,0.00750003139592,0.207310745269626,0.729699336724575,4.18010466922277,0,17.6189542787092,1263.29014570709,6.1212221092347,959.530699168413,1.31657084739648
BEL,1991,Organic N emissions,176776277.395324,0.01,2.77791293049795,0.06392374310821,0.1562257340944,0.3,27617003.7065598,53032883.2185972,0.01,0.00750003139592,0.433981486817368,0.625033025816002,3.83692744313132,0,0,1143.40437805313,6.46808720548031,959.530699168413,1.19162876085578
BEL,1992,Inorganic N emissions,198310475.7,0.01,3.11630747528572,0.06432268537599,0.1573712309415,0.3,12755862.335214,59493142.71,0.01,0.00750003105949,0.200449265267649,0.701172085666912,4.01792882622028,0,17.0594195581708,1214.40220977181,6.12374210431998,959.019252134095,1.26629596545577
BEL,1992,Organic N emissions,176522530.482599,0.01,2.77392547901227,0.06432268537599,0.1573712309415,0.3,27779567.9109551,52956759.1447797,0.01,0.00750003105949,0.436536067172151,0.624135817479081,3.8345973636635,0,0,1142.71001437172,6.47345135630926,959.019252134095,1.19154022385772
BEL,1993,Inorganic N emissions,186171762.91,0.01,2.9255562743,0.06561093322412,0.16049940023443,0.3,12214903.1045047,55851528.873,0.01,0.00750003103275,0.191948477356503,0.658252885359194,3.7757576370157,0,16.517435371979,1141.69321120266,6.13247247250153,958.507805099776,1.19111519502318
BEL,1993,Organic N emissions,178368559.759129,0.01,2.80293451050059,0.06561093322412,0.16049940023443,0.3,28628046.8620193,53510567.9277387,0.01,0.00750003103275,0.449869307831732,0.630662874345613,3.88346669267793,0,0,1157.27307441802,6.48810012247012,958.507805099776,1.20736948438052
BEL,1994,Inorganic N emissions,189456146.88,0.01,2.9771680224,0.06780831682071,0.15769819133097,0.3,12846702.43127,56836844.064,0.01,0.00750003204973,0.201876752491386,0.669865667562938,3.84891044245432,0,22.4785535122766,1169.45386536367,6.17268895532003,957.996358065458,1.2207289260736
BEL,1994,Organic N emissions,178926551.094718,0.01,2.81170294577414,0.06780831682071,0.15769819133097,0.3,28216393.4887254,53677965.3284154,0.01,0.00750003204973,0.443400469108542,0.632635866228789,3.88773928111147,0,0,1158.54630577122,6.4749826042191,957.996358065458,1.20934312121055
BEL,1995,Inorganic N emissions,197877263.6,0.01,3.10949985657142,0.06777642559332,0.15719724762227,0.3,13411413.6329952,59363179.08,0.01,0.0075000310681,0.210750785661353,0.699640365916146,4.01989100814892,0,23.1016400214575,1221.02916044984,6.17063900235699,957.484911031139,1.27524637347536
BEL,1995,Organic N emissions,182565292.858254,0.01,2.86888317348684,0.06777642559332,0.15719724762227,0.3,28698761.5486712,54769587.8574762,0.01,0.0075000310681,0.450980538621976,0.645501387957021,3.96536510006584,0,0,1181.67879981962,6.47263661848964,957.484911031139,1.23414874344812
BEL,1996,Inorganic N emissions,180198483.28,0.01,2.83169045154285,0.07166191303711,0.15294969951937,0.3,12913368.0382305,54059544.984,0.01,0.00750003101518,0.202924354886479,0.637132986358815,3.67174779278814,0,22.5901610801421,1116.77100333101,6.19744951790589,956.973463996821,1.16698220519803
BEL,1996,Organic N emissions,187714177.255314,0.01,2.94979421401208,0.07166191303711,0.15294969951937,0.3,28710827.006726,56314253.1765942,0.01,0.00750003101518,0.451170138677123,0.663706442804673,4.06467079549388,0,0,1211.27189705718,6.45274595008186,956.973463996821,1.26573195875074
BEL,1997,Inorganic N emissions,178135231.25,0.01,2.79926791964286,0.07263583576899,0.1537650306302,0.3,12939001.4017461,53440569.375,0.01,0.00750003029626,0.203327164884581,0.629837826140104,3.63243291066755,0,22.9184545824966,1105.38346196143,6.20530511681936,956.462016962502,1.15570032302157
BEL,1997,Organic N emissions,186042258.035622,0.01,2.92352119770263,0.07263583576899,0.1537650306302,0.3,28606793.505359,55812677.4106866,0.01,0.00750003029626,0.449535326512784,0.657794926635842,4.03085145085126,0,0,1201.19373235367,6.4565639282,956.462016962502,1.2558718600958
BEL,1998,Inorganic N emissions,176531881.2,0.01,2.77407241885714,0.07217308382206,0.1557554284669,0.3,12740850.2591135,52959564.36,0.01,0.00750003177079,0.200213361214641,0.624168938277025,3.59845471834881,0,23.3367765562239,1095.67628262417,6.20667652310821,955.950569928184,1.14616416067044
BEL,1998,Organic N emissions,185279028.425266,0.01,2.9115275895399,0.07217308382206,0.1557554284669,0.3,28858214.4583082,55583708.5275798,0.01,0.00750003177079,0.453486227201987,0.655096482692425,4.02011029943431,0,0,1197.99286923143,6.46588488407713,955.950569928184,1.25319541294005
BEL,1999,Inorganic N emissions,170319390.579619,0.01,2.67644756625115,0.07405530847856,0.15640669723829,0.3,12613055.009254,51095817.1738857,0.01,0.00750003016766,0.19820515014542,0.602203124671316,3.47685584106789,0,24.2090663638438,1060.31210700207,6.22543389448315,955.439122893865,1.1097641718821
