Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
indirect n2o emissions,0,0,0.51967859972385,DNK,2010,154.864222717707,manure management
total livestock,0,259.284939589174,2.59263517042341,DNK,2011,7254.72877051552,total
enteric fermentation,0,143.699541152903,0,DNK,2011,3592.48852882257,total
cattle subtotal,0,123.036923379011,0,DNK,2011,3075.92308447526,enteric fermentation
dairy cattle,0,82.5996988563999,0,DNK,2011,2064.99247141,enteric fermentation
non-dairy cattle,0,40.4372245226106,0,DNK,2011,1010.93061306526,enteric fermentation
manure management,0,115.585398436271,2.59263517042341,DNK,2011,3662.24024169295,total
cattle subtotal,0,49.9565809150065,0.94287191928035,DNK,2011,1529.89035482071,manure management
dairy cattle,0,29.1115621912248,0.56586081571301,DNK,2011,896.415577863097,manure management
non-dairy cattle,0,20.8450187237817,0.37701110356734,DNK,2011,633.47477695761,manure management
indirect n2o emissions,0,0,0.5174594033179,DNK,2011,154.202902188734,manure management
total livestock,0,259.977958334437,2.54113523735218,DNK,2012,7256.70725909188,total
enteric fermentation,0,146.950015345378,0,DNK,2012,3673.75038363444,total
cattle subtotal,0,127.08661346711,0,DNK,2012,3177.16533667774,enteric fermentation
dairy cattle,0,86.2330697988876,0,DNK,2012,2155.82674497219,enteric fermentation
non-dairy cattle,0,40.8535436682221,0,DNK,2012,1021.33859170555,enteric fermentation
manure management,0,113.027942989059,2.54113523735218,DNK,2012,3582.95687545743,total
cattle subtotal,0,51.0483294897829,0.96178055224906,DNK,2012,1562.81884181479,manure management
dairy cattle,0,31.148278845765,0.59314634404541,DNK,2012,955.464581669657,manure management
non-dairy cattle,0,19.9000506440179,0.36863420820365,DNK,2012,607.354260145135,manure management
indirect n2o emissions,0,0,0.50766730234358,DNK,2012,151.284856098387,manure management
total livestock,0,258.454509573371,2.51900540334166,DNK,2013,7212.02634953009,total
enteric fermentation,0,147.833510609232,0,DNK,2013,3695.83776523081,total
cattle subtotal,0,128.152692495758,0,DNK,2013,3203.81731239394,enteric fermentation
dairy cattle,0,86.1749171439829,0,DNK,2013,2154.37292859957,enteric fermentation
non-dairy cattle,0,41.9777753517748,0,DNK,2013,1049.44438379437,enteric fermentation
manure management,0,110.620998964139,2.51900540334166,DNK,2013,3516.18858429928,total
cattle subtotal,0,49.7787151083946,0.96791460252543,DNK,2013,1532.90642926244,manure management
dairy cattle,0,31.7976429781166,0.59333644416756,DNK,2013,971.755334814848,manure management
non-dairy cattle,0,17.981072130278,0.37457815835787,DNK,2013,561.151094447595,manure management
indirect n2o emissions,0,0,0.47479794247028,DNK,2013,141.489786856143,manure management
total livestock,0,259.330344188973,2.50688960613841,DNK,2014,7230.31170735358,total
enteric fermentation,0,147.813859943021,0,DNK,2014,3695.34649857553,total
cattle subtotal,0,127.904318397992,0,DNK,2014,3197.60795994981,enteric fermentation
dairy cattle,0,86.6065145256714,0,DNK,2014,2165.16286314179,enteric fermentation
non-dairy cattle,0,41.2978038723208,0,DNK,2014,1032.44509680802,enteric fermentation
manure management,0,111.516484245952,2.50688960613841,DNK,2014,3534.96520877805,total
cattle subtotal,0,48.9613332841325,0.95307054339633,DNK,2014,1508.04835403542,manure management
dairy cattle,0,31.3068012712841,0.58409533116363,DNK,2014,956.730440468864,manure management
non-dairy cattle,0,17.6545320128484,0.3689752122327,DNK,2014,551.317913566555,manure management
indirect n2o emissions,0,0,0.47399434401909,DNK,2014,141.250314517689,manure management
total livestock,0,257.284270543031,2.47290302989688,DNK,2015,7169.03186648505,total
enteric fermentation,0,146.744392947937,0,DNK,2015,3668.60982369842,total
cattle subtotal,0,126.816176996892,0,DNK,2015,3170.40442492231,enteric fermentation
dairy cattle,0,86.693907327117,0,DNK,2015,2167.34768317792,enteric fermentation
non-dairy cattle,0,40.1222696697754,0,DNK,2015,1003.05674174439,enteric fermentation
manure management,0,110.539877595094,2.47290302989688,DNK,2015,3500.42204278663,total
cattle subtotal,0,48.7453793578257,0.94364498386265,DNK,2015,1499.84068913671,manure management
dairy cattle,0,31.4487454694031,0.58039206802846,DNK,2015,959.175473007559,manure management
non-dairy cattle,0,17.2966338884226,0.36325291583419,DNK,2015,540.665216129154,manure management
indirect n2o emissions,0,0,0.47070247779364,DNK,2015,140.269338382505,manure management
total livestock,0,258.784342193018,2.4476032813525,DNK,2016,7198.99433266849,total
enteric fermentation,0,148.73695280282,0,DNK,2016,3718.4238200705,total
cattle subtotal,0,128.902976558067,0,DNK,2016,3222.57441395168,enteric fermentation
dairy cattle,0,89.2641685297618,0,DNK,2016,2231.60421324405,enteric fermentation
non-dairy cattle,0,39.6388080283052,0,DNK,2016,990.97020070763,enteric fermentation
manure management,0,110.047389390198,2.4476032813525,DNK,2016,3480.57051259799,total
cattle subtotal,0,49.2554165716116,0.95401545820929,DNK,2016,1515.68202083666,manure management
dairy cattle,0,32.0943959657542,0.5904476960865,DNK,2016,978.313312577632,manure management
non-dairy cattle,0,17.1610206058574,0.36356776212279,DNK,2016,537.368708259026,manure management
indirect n2o emissions,0,0,0.46109284765389,DNK,2016,137.405668600859,manure management
total livestock,0,258.558531674058,2.43866033964058,DNK,2017,7190.68407306435,total
enteric fermentation,0,149.336500091306,0,DNK,2017,3733.41250228265,total
cattle subtotal,0,129.496312659136,0,DNK,2017,3237.40781647839,enteric fermentation
dairy cattle,0,90.8356933784703,0,DNK,2017,2270.89233446176,enteric fermentation
non-dairy cattle,0,38.6606192806652,0,DNK,2017,966.51548201663,enteric fermentation
manure management,0,109.222031582752,2.43866033964058,DNK,2017,3457.2715707817,total
cattle subtotal,0,49.2056664544532,0.94465129055729,DNK,2017,1511.6477459474,manure management
dairy cattle,0,32.3770856023118,0.58875640267857,DNK,2017,984.876548056009,manure management
non-dairy cattle,0,16.8285808521414,0.35589488787872,DNK,2017,526.771197891394,manure management
indirect n2o emissions,0,0,0.45710583098538,DNK,2017,136.217537633643,manure management
total livestock,0,260.941249798447,2.48147648695703,DNK,2018,7263.01123807437,total
enteric fermentation,0,149.922624035773,0,DNK,2018,3748.06560089432,total
cattle subtotal,0,129.633943907863,0,DNK,2018,3240.84859769656,enteric fermentation
dairy cattle,0,91.5964789161471,0,DNK,2018,2289.91197290368,enteric fermentation
non-dairy cattle,0,38.0374649917154,0,DNK,2018,950.936624792885,enteric fermentation
manure management,0,111.018625762674,2.48147648695703,DNK,2018,3514.94563718005,total
cattle subtotal,0,49.1265511838071,0.95240898004275,DNK,2018,1511.98165564792,manure management
dairy cattle,0,32.6310880040555,0.59897605481992,DNK,2018,994.272064437724,manure management
non-dairy cattle,0,16.4954631797516,0.35343292522283,DNK,2018,517.709591210193,manure management
indirect n2o emissions,0,0,0.4587534350807,DNK,2018,136.708523654049,manure management
total livestock,0,254.26586234037,2.31944550385914,DNK,2019,7047.84131865927,total
enteric fermentation,0,147.965844437824,0,DNK,2019,3699.14611094559,total
cattle subtotal,0,128.215987684984,0,DNK,2019,3205.3996921246,enteric fermentation
dairy cattle,0,91.2091246291289,0,DNK,2019,2280.22811572822,enteric fermentation
non-dairy cattle,0,37.0068630558549,0,DNK,2019,925.171576396373,enteric fermentation
manure management,0,106.300017902546,2.31944550385914,DNK,2019,3348.69520771368,total
cattle subtotal,0,48.0163224077161,0.91421888198845,DNK,2019,1472.84528702546,manure management
dairy cattle,0,31.898594156217,0.57205576669648,DNK,2019,967.937472380976,manure management
non-dairy cattle,0,16.1177282514991,0.34216311529197,DNK,2019,504.907814644485,manure management
indirect n2o emissions,0,0,0.42981040477644,DNK,2019,128.083500623379,manure management
total livestock,0,260.338298453908,2.35380152047458,DNK,2020,7209.89031444912,total
enteric fermentation,0,148.154236336652,0,DNK,2020,3703.85590841629,total
cattle subtotal,0,126.426781624498,0,DNK,2020,3160.66954061244,enteric fermentation
dairy cattle,0,89.3546444477536,0,DNK,2020,2233.86611119384,enteric fermentation
non-dairy cattle,0,37.0721371767441,0,DNK,2020,926.803429418602,enteric fermentation
manure management,0,112.184062117256,2.35380152047458,DNK,2020,3506.03440603282,total
cattle subtotal,0,47.9913957872111,0.89908728524889,DNK,2020,1467.71290568445,manure management
dairy cattle,0,31.9594874800646,0.55779820956261,DNK,2020,965.211053451273,manure management
non-dairy cattle,0,16.0319083071465,0.34128907568628,DNK,2020,502.501852233174,manure management
indirect n2o emissions,0,0,0.44198981857269,DNK,2020,131.712965934662,manure management
total livestock,0,258.624781891932,2.25368904365022,DNK,2021,7137.21888230607,total
enteric fermentation,0,149.078170552893,0,DNK,2021,3726.95426382231,total
cattle subtotal,0,127.985870873023,0,DNK,2021,3199.64677182558,enteric fermentation
dairy cattle,0,91.2736520068841,0,DNK,2021,2281.8413001721,enteric fermentation
non-dairy cattle,0,36.7122188661391,0,DNK,2021,917.805471653477,enteric fermentation
manure management,0,109.54661133904,2.25368904365022,DNK,2021,3410.26461848376,total
cattle subtotal,0,48.1684414316904,0.88345981476978,DNK,2021,1467.48206059365,manure management
dairy cattle,0,32.3720506964302,0.54473077381259,DNK,2021,971.631038006907,manure management
non-dairy cattle,0,15.7963907352602,0.33872904095719,DNK,2021,495.851022586748,manure management
indirect n2o emissions,0,0,0.36804885999379,DNK,2021,109.678560278149,manure management
total livestock,0,849.567427185,6.115057367,ESP,1990,23061.472774991,total
enteric fermentation,0,563.807573553,0,ESP,1990,14095.189338825,total
cattle subtotal,0,342.11158885,0,ESP,1990,8552.78972125,enteric fermentation
dairy cattle,0,131.703558875,0,ESP,1990,3292.588971875,enteric fermentation
non-dairy cattle,0,210.408029975,0,ESP,1990,5260.200749375,enteric fermentation
manure management,0,285.759853632,6.115057367,ESP,1990,8966.283436166,total
cattle subtotal,0,65.803250195,1.062516909,ESP,1990,1961.711293757,manure management
dairy cattle,0,45.495617497,0.498308018,ESP,1990,1285.886226789,manure management
non-dairy cattle,0,20.307632698,0.564208891,ESP,1990,675.825066968,manure management
indirect n2o emissions,0,0,2.750555413,ESP,1990,819.665513074,manure management
total livestock,0,803.379592798,6.154160907,ESP,1991,21918.429770236,total
enteric fermentation,0,547.35051778,0,ESP,1991,13683.7629445,total
cattle subtotal,0,332.419354436,0,ESP,1991,8310.4838609,enteric fermentation
dairy cattle,0,126.715830292,0,ESP,1991,3167.8957573,enteric fermentation
non-dairy cattle,0,205.703524144,0,ESP,1991,5142.5881036,enteric fermentation
manure management,0,256.029075018,6.154160907,ESP,1991,8234.666825736,total
cattle subtotal,0,57.95221809,1.052954873,ESP,1991,1762.586004404,manure management
dairy cattle,0,40.083691987,0.489349452,ESP,1991,1147.918436371,manure management
non-dairy cattle,0,17.868526103,0.563605421,ESP,1991,614.667568033,manure management
indirect n2o emissions,0,0,2.765564959,ESP,1991,824.138357782,manure management
total livestock,0,817.261098047,6.412871467,ESP,1992,22342.563148341,total
enteric fermentation,0,548.098440733,0,ESP,1992,13702.461018325,total
cattle subtotal,0,325.87040731,0,ESP,1992,8146.76018275,enteric fermentation
dairy cattle,0,120.377270837,0,ESP,1992,3009.431770925,enteric fermentation
non-dairy cattle,0,205.493136473,0,ESP,1992,5137.328411825,enteric fermentation
manure management,0,269.162657314,6.412871467,ESP,1992,8640.102130016,total
cattle subtotal,0,55.011347654,1.004772144,ESP,1992,1674.705790262,manure management
dairy cattle,0,38.275692535,0.474921352,ESP,1992,1098.418876271,manure management
non-dairy cattle,0,16.735655119,0.529850792,ESP,1992,576.286913991,manure management
indirect n2o emissions,0,0,2.862174263,ESP,1992,852.927930374,manure management
total livestock,0,810.866007779,6.416147174,ESP,1993,22183.662052327,total
enteric fermentation,0,549.072447185,0,ESP,1993,13726.811179625,total
cattle subtotal,0,327.221381891,0,ESP,1993,8180.534547275,enteric fermentation
dairy cattle,0,114.128504881,0,ESP,1993,2853.212622025,enteric fermentation
non-dairy cattle,0,213.09287701,0,ESP,1993,5327.32192525,enteric fermentation
manure management,0,261.793560594,6.416147174,ESP,1993,8456.850872702,total
cattle subtotal,0,52.421241453,1.010123412,ESP,1993,1611.547813101,manure management
dairy cattle,0,35.992888206,0.459240746,ESP,1993,1036.675947458,manure management
non-dairy cattle,0,16.428353247,0.550882666,ESP,1993,574.871865643,manure management
indirect n2o emissions,0,0,2.833863628,ESP,1993,844.491361144,manure management
total livestock,0,843.071368479,6.567280408,ESP,1994,23033.833773559,total
enteric fermentation,0,561.6293,0,ESP,1994,14040.7325,total
cattle subtotal,0,340.000995793,0,ESP,1994,8500.024894825,enteric fermentation
dairy cattle,0,111.154838476,0,ESP,1994,2778.8709619,enteric fermentation
non-dairy cattle,0,228.846157317,0,ESP,1994,5721.153932925,enteric fermentation
manure management,0,281.442068479,6.567280408,ESP,1994,8993.101273559,total
cattle subtotal,0,58.039947277,1.036711926,ESP,1994,1759.938835873,manure management
dairy cattle,0,39.169836678,0.455192602,ESP,1994,1114.893312346,manure management
non-dairy cattle,0,18.870110599,0.581519324,ESP,1994,645.045523527,manure management
indirect n2o emissions,0,0,2.898995457,ESP,1994,863.900646186,manure management
total livestock,0,872.723387905,6.807566995,ESP,1995,23846.739662135,total
enteric fermentation,0,575.537081015,0,ESP,1995,14388.427025375,total
cattle subtotal,0,363.975585963,0,ESP,1995,9099.389649075,enteric fermentation
dairy cattle,0,120.616561351,0,ESP,1995,3015.414033775,enteric fermentation
non-dairy cattle,0,243.359024612,0,ESP,1995,6083.9756153,enteric fermentation
manure management,0,297.18630689,6.807566995,ESP,1995,9458.31263676,total
cattle subtotal,0,64.197054224,1.131275292,ESP,1995,1942.046392616,manure management
dairy cattle,0,44.088457363,0.487039648,ESP,1995,1247.349249179,manure management
non-dairy cattle,0,20.108596861,0.644235644,ESP,1995,694.697143437,manure management
indirect n2o emissions,0,0,2.974630024,ESP,1995,886.439747152,manure management
total livestock,0,904.87336241,7.154617475,ESP,1996,24753.9100678,total
enteric fermentation,0,621.388049956,0,ESP,1996,15534.7012489,total
cattle subtotal,0,389.604650472,0,ESP,1996,9740.1162618,enteric fermentation
dairy cattle,0,120.489696496,0,ESP,1996,3012.2424124,enteric fermentation
non-dairy cattle,0,269.114953976,0,ESP,1996,6727.8738494,enteric fermentation
manure management,0,283.485312454,7.154617475,ESP,1996,9219.2088189,total
cattle subtotal,0,61.802150166,1.176787931,ESP,1996,1895.736557588,manure management
dairy cattle,0,41.775255904,0.495326745,ESP,1996,1191.98876761,manure management
non-dairy cattle,0,20.026894262,0.681461186,ESP,1996,703.747789978,manure management
indirect n2o emissions,0,0,3.080818889,ESP,1996,918.084028922,manure management
total livestock,0,916.955248951,7.158865056,ESP,1997,25057.223010463,total
enteric fermentation,0,612.897401182,0,ESP,1997,15322.43502955,total
cattle subtotal,0,381.227723283,0,ESP,1997,9530.693082075,enteric fermentation
dairy cattle,0,117.570783435,0,ESP,1997,2939.269585875,enteric fermentation
non-dairy cattle,0,263.656939848,0,ESP,1997,6591.4234962,enteric fermentation
manure management,0,304.057847769,7.158865056,ESP,1997,9734.787980913,total
cattle subtotal,0,65.329376614,1.201785836,ESP,1997,1991.366594478,manure management
dairy cattle,0,44.090367974,0.492499249,ESP,1997,1249.023975552,manure management
non-dairy cattle,0,21.23900864,0.709286587,ESP,1997,742.342618926,manure management
indirect n2o emissions,0,0,3.130650986,ESP,1997,932.933993828,manure management
total livestock,0,929.896630386,7.522228402,ESP,1998,25489.039823446,total
enteric fermentation,0,622.549037774,0,ESP,1998,15563.72594435,total
cattle subtotal,0,388.593594587,0,ESP,1998,9714.839864675,enteric fermentation
dairy cattle,0,121.965140888,0,ESP,1998,3049.1285222,enteric fermentation
non-dairy cattle,0,266.628453699,0,ESP,1998,6665.711342475,enteric fermentation
manure management,0,307.347592612,7.522228402,ESP,1998,9925.313879096,total
cattle subtotal,0,64.985773812,1.260121775,ESP,1998,2000.16063425,manure management
dairy cattle,0,44.553657559,0.520000766,ESP,1998,1268.801667243,manure management
non-dairy cattle,0,20.432116253,0.740121009,ESP,1998,731.358967007,manure management
indirect n2o emissions,0,0,3.29031882,ESP,1998,980.51500836,manure management
total livestock,0,951.06816843,7.099614912,ESP,1999,25892.389454526,total
enteric fermentation,0,638.769138646,0,ESP,1999,15969.22846615,total
cattle subtotal,0,403.969002892,0,ESP,1999,10099.2250723,enteric fermentation
dairy cattle,0,113.199620367,0,ESP,1999,2829.990509175,enteric fermentation
non-dairy cattle,0,290.769382525,0,ESP,1999,7269.234563125,enteric fermentation
manure management,0,312.299029784,7.099614912,ESP,1999,9923.160988376,total
cattle subtotal,0,62.912448267,1.241723908,ESP,1999,1942.844931259,manure management
dairy cattle,0,42.090379601,0.489936586,ESP,1999,1198.260592653,manure management
non-dairy cattle,0,20.822068666,0.751787322,ESP,1999,744.584338606,manure management
indirect n2o emissions,0,0,3.137398509,ESP,1999,934.944755682,manure management
total livestock,0,1008.290034911,7.61937742,ESP,2000,27477.825343935,total
enteric fermentation,0,663.046088478,0,ESP,2000,16576.15221195,total
cattle subtotal,0,407.412973311,0,ESP,2000,10185.324332775,enteric fermentation
dairy cattle,0,114.945942124,0,ESP,2000,2873.6485531,enteric fermentation
non-dairy cattle,0,292.467031187,0,ESP,2000,7311.675779675,enteric fermentation
manure management,0,345.243946433,7.61937742,ESP,2000,10901.673131985,total
cattle subtotal,0,62.882868347,1.292809489,ESP,2000,1957.328936397,manure management
dairy cattle,0,42.750153809,0.498566232,ESP,2000,1217.326582361,manure management
non-dairy cattle,0,20.132714538,0.794243257,ESP,2000,740.002354036,manure management
indirect n2o emissions,0,0,3.334854017,ESP,2000,993.786497066,manure management
total livestock,0,1018.290966661,7.907910961,ESP,2001,27813.831632903,total
enteric fermentation,0,668.733957996,0,ESP,2001,16718.3489499,total
cattle subtotal,0,419.374075781,0,ESP,2001,10484.351894525,enteric fermentation
dairy cattle,0,118.172435505,0,ESP,2001,2954.310887625,enteric fermentation
non-dairy cattle,0,301.201640276,0,ESP,2001,7530.0410069,enteric fermentation
manure management,0,349.557008665,7.907910961,ESP,2001,11095.482683003,total
cattle subtotal,0,65.974187754,1.35893611,ESP,2001,2054.31765463,manure management
dairy cattle,0,45.138618557,0.521252513,ESP,2001,1283.798712799,manure management
non-dairy cattle,0,20.835569197,0.837683597,ESP,2001,770.518941831,manure management
indirect n2o emissions,0,0,3.445813793,ESP,2001,1026.852510314,manure management
total livestock,0,1013.980852323,7.841822303,ESP,2002,27686.384354369,total
enteric fermentation,0,672.305091581,0,ESP,2002,16807.627289525,total
cattle subtotal,0,423.399968476,0,ESP,2002,10584.9992119,enteric fermentation
dairy cattle,0,114.817305179,0,ESP,2002,2870.432629475,enteric fermentation
non-dairy cattle,0,308.582663297,0,ESP,2002,7714.566582425,enteric fermentation
manure management,0,341.675760742,7.841822303,ESP,2002,10878.757064844,total
cattle subtotal,0,64.06370499,1.342744093,ESP,2002,2001.730364464,manure management
dairy cattle,0,43.806848128,0.515928678,ESP,2002,1248.917949244,manure management
non-dairy cattle,0,20.256856862,0.826815415,ESP,2002,752.81241522,manure management
indirect n2o emissions,0,0,3.400780721,ESP,2002,1013.432654858,manure management
total livestock,0,1026.872545661,7.731621292,ESP,2003,27975.836786541,total
enteric fermentation,0,676.171537047,0,ESP,2003,16904.288426175,total
cattle subtotal,0,425.789978969,0,ESP,2003,10644.749474225,enteric fermentation
dairy cattle,0,111.221864955,0,ESP,2003,2780.546623875,enteric fermentation
non-dairy cattle,0,314.568114014,0,ESP,2003,7864.20285035,enteric fermentation
manure management,0,350.701008614,7.731621292,ESP,2003,11071.548360366,total
cattle subtotal,0,64.174207389,1.32823409,ESP,2003,2000.168943545,manure management
dairy cattle,0,43.798737857,0.507739566,ESP,2003,1246.274837093,manure management
non-dairy cattle,0,20.375469532,0.820494524,ESP,2003,753.894106452,manure management
indirect n2o emissions,0,0,3.363858795,ESP,2003,1002.42992091,manure management
total livestock,0,1015.755039174,7.377808147,ESP,2004,27592.462807156,total
enteric fermentation,0,668.640084038,0,ESP,2004,16716.00210095,total
cattle subtotal,0,431.037492893,0,ESP,2004,10775.937322325,enteric fermentation
dairy cattle,0,105.142523736,0,ESP,2004,2628.5630934,enteric fermentation
non-dairy cattle,0,325.894969157,0,ESP,2004,8147.374228925,enteric fermentation
manure management,0,347.114955136,7.377808147,ESP,2004,10876.460706206,total
cattle subtotal,0,61.908278567,1.387037925,ESP,2004,1961.044265825,manure management
dairy cattle,0,41.273383583,0.487878319,ESP,2004,1177.222328637,manure management
non-dairy cattle,0,20.634894984,0.899159606,ESP,2004,783.821937188,manure management
indirect n2o emissions,0,0,3.263713144,ESP,2004,972.586516912,manure management
total livestock,0,969.404913712,7.242329137,ESP,2005,26393.336925626,total
enteric fermentation,0,661.224825957,0,ESP,2005,16530.620648925,total
cattle subtotal,0,416.912249402,0,ESP,2005,10422.80623505,enteric fermentation
dairy cattle,0,108.090482632,0,ESP,2005,2702.2620658,enteric fermentation
non-dairy cattle,0,308.82176677,0,ESP,2005,7720.54416925,enteric fermentation
manure management,0,308.180087755,7.242329137,ESP,2005,9862.716276701,total
cattle subtotal,0,53.835362568,1.36978635,ESP,2005,1754.0803965,manure management
dairy cattle,0,36.554624161,0.505903547,ESP,2005,1064.624861031,manure management
non-dairy cattle,0,17.280738407,0.863882803,ESP,2005,689.455535469,manure management
indirect n2o emissions,0,0,3.181107011,ESP,2005,947.969889278,manure management
total livestock,0,940.620495197,7.11057705,ESP,2006,25634.464340825,total
enteric fermentation,0,641.201470797,0,ESP,2006,16030.036769925,total
cattle subtotal,0,408.879330475,0,ESP,2006,10221.983261875,enteric fermentation
dairy cattle,0,99.968544066,0,ESP,2006,2499.21360165,enteric fermentation
non-dairy cattle,0,308.910786409,0,ESP,2006,7722.769660225,enteric fermentation
manure management,0,299.4190244,7.11057705,ESP,2006,9604.4275709,total
cattle subtotal,0,54.032697585,1.327678787,ESP,2006,1746.465718151,manure management
dairy cattle,0,36.532455569,0.474718846,ESP,2006,1054.777605333,manure management
non-dairy cattle,0,17.500242016,0.852959941,ESP,2006,691.688112818,manure management
indirect n2o emissions,0,0,3.097225332,ESP,2006,922.973148936,manure management
total livestock,0,960.202844356,7.140265467,ESP,2007,26132.870218066,total
enteric fermentation,0,651.455834698,0,ESP,2007,16286.39586745,total
cattle subtotal,0,415.709307464,0,ESP,2007,10392.7326866,enteric fermentation
dairy cattle,0,95.559618724,0,ESP,2007,2388.9904681,enteric fermentation
non-dairy cattle,0,320.14968874,0,ESP,2007,8003.7422185,enteric fermentation
manure management,0,308.747009658,7.140265467,ESP,2007,9846.474350616,total
cattle subtotal,0,51.975001296,1.295641191,ESP,2007,1685.476107318,manure management
dairy cattle,0,34.838299506,0.46049993,ESP,2007,1008.18646679,manure management
non-dairy cattle,0,17.13670179,0.835141261,ESP,2007,677.289640528,manure management
indirect n2o emissions,0,0,3.130425497,ESP,2007,932.866798106,manure management
total livestock,0,902.650547779,6.651594407,ESP,2008,24548.438827761,total
enteric fermentation,0,618.670938389,0,ESP,2008,15466.773459725,total
cattle subtotal,0,401.064518894,0,ESP,2008,10026.61297235,enteric fermentation
dairy cattle,0,92.474373775,0,ESP,2008,2311.859344375,enteric fermentation
non-dairy cattle,0,308.590145119,0,ESP,2008,7714.753627975,enteric fermentation
manure management,0,283.97960939,6.651594407,ESP,2008,9081.665368036,total
cattle subtotal,0,50.126763816,1.24591935,ESP,2008,1624.4530617,manure management
dairy cattle,0,34.110336114,0.452309437,ESP,2008,987.546615076,manure management
non-dairy cattle,0,16.016427702,0.793609913,ESP,2008,636.906446624,manure management
indirect n2o emissions,0,0,2.887834156,ESP,2008,860.574578488,manure management
total livestock,0,911.306678915,6.556121493,ESP,2009,24736.391177789,total
enteric fermentation,0,612.538612803,0,ESP,2009,15313.465320075,total
cattle subtotal,0,393.26953703,0,ESP,2009,9831.73842575,enteric fermentation
dairy cattle,0,86.698599178,0,ESP,2009,2167.46497945,enteric fermentation
non-dairy cattle,0,306.570937852,0,ESP,2009,7664.2734463,enteric fermentation
manure management,0,298.768066112,6.556121493,ESP,2009,9422.925857714,total
cattle subtotal,0,49.45791091,1.159802117,ESP,2009,1582.068803616,manure management
dairy cattle,0,33.664339215,0.430395477,ESP,2009,969.866332521,manure management
non-dairy cattle,0,15.793571695,0.72940664,ESP,2009,612.202471095,manure management
indirect n2o emissions,0,0,2.820214133,ESP,2009,840.423811634,manure management
total livestock,0,877.619232008,6.54388012,ESP,2010,23890.55707596,total
enteric fermentation,0,623.576934604,0,ESP,2010,15589.4233651,total
cattle subtotal,0,407.720458456,0,ESP,2010,10193.0114614,enteric fermentation
dairy cattle,0,92.767317469,0,ESP,2010,2319.182936725,enteric fermentation
non-dairy cattle,0,314.953140987,0,ESP,2010,7873.828524675,enteric fermentation
manure management,0,254.042297404,6.54388012,ESP,2010,8301.13371086,total
cattle subtotal,0,48.000838909,1.196425476,ESP,2010,1556.555764573,manure management
dairy cattle,0,33.436810556,0.4914854,ESP,2010,982.3829131,manure management
non-dairy cattle,0,14.564028353,0.704940076,ESP,2010,574.172851473,manure management
indirect n2o emissions,0,0,2.780388631,ESP,2010,828.555812038,manure management
total livestock,0,872.580842127,6.405091339,ESP,2011,23723.238272197,total
enteric fermentation,0,603.64931178,0,ESP,2011,15091.2327945,total
cattle subtotal,0,403.860376283,0,ESP,2011,10096.509407075,enteric fermentation
dairy cattle,0,91.758161447,0,ESP,2011,2293.954036175,enteric fermentation
non-dairy cattle,0,312.102214836,0,ESP,2011,7802.5553709,enteric fermentation
manure management,0,268.931530347,6.405091339,ESP,2011,8632.005477697,total
cattle subtotal,0,49.989107089,1.177814943,ESP,2011,1600.716530239,manure management
dairy cattle,0,34.95683398,0.48104467,ESP,2011,1017.27216116,manure management
non-dairy cattle,0,15.032273109,0.696770273,ESP,2011,583.444369079,manure management
indirect n2o emissions,0,0,2.75491694,ESP,2011,820.96524812,manure management
total livestock,0,840.786714658,6.406962414,ESP,2012,22928.942665822,total
enteric fermentation,0,583.904448324,0,ESP,2012,14597.6112081,total
cattle subtotal,0,394.823005605,0,ESP,2012,9870.575140125,enteric fermentation
dairy cattle,0,95.68785469,0,ESP,2012,2392.19636725,enteric fermentation
non-dairy cattle,0,299.135150915,0,ESP,2012,7478.378772875,enteric fermentation
manure management,0,256.882266334,6.406962414,ESP,2012,8331.331457722,total
cattle subtotal,0,49.070211616,1.185175771,ESP,2012,1579.937670158,manure management
dairy cattle,0,34.76560636,0.501894486,ESP,2012,1018.704715828,manure management
non-dairy cattle,0,14.304605256,0.683281285,ESP,2012,561.23295433,manure management
indirect n2o emissions,0,0,2.751896487,ESP,2012,820.065153126,manure management
total livestock,0,814.778358407,6.344168159,ESP,2013,22260.021071557,total
enteric fermentation,0,571.832570632,0,ESP,2013,14295.8142658,total
cattle subtotal,0,384.947878579,0,ESP,2013,9623.696964475,enteric fermentation
dairy cattle,0,97.069105608,0,ESP,2013,2426.7276402,enteric fermentation
non-dairy cattle,0,287.878772971,0,ESP,2013,7196.969324275,enteric fermentation
manure management,0,242.945787775,6.344168159,ESP,2013,7964.206805757,total
cattle subtotal,0,48.008703262,1.174352743,ESP,2013,1550.174698964,manure management
dairy cattle,0,34.609958367,0.508799269,ESP,2013,1016.871141337,manure management
non-dairy cattle,0,13.398744895,0.665553474,ESP,2013,533.303557627,manure management
indirect n2o emissions,0,0,2.725085502,ESP,2013,812.075479596,manure management
total livestock,0,838.904086638,6.429263263,ESP,2014,22888.522618324,total
enteric fermentation,0,579.706748001,0,ESP,2014,14492.668700025,total
cattle subtotal,0,399.863960472,0,ESP,2014,9996.5990118,enteric fermentation
dairy cattle,0,98.227793057,0,ESP,2014,2455.694826425,enteric fermentation
non-dairy cattle,0,301.636167415,0,ESP,2014,7540.904185375,enteric fermentation
manure management,0,259.197338637,6.429263263,ESP,2014,8395.853918299,total
cattle subtotal,0,51.753807934,1.216756401,ESP,2014,1656.438605848,manure management
