Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
manure management,0,21.4764964058017,1.82164785003974,AUT,1994,1079.76346945688,total
cattle subtotal,0,15.9403010352858,1.03716001748772,AUT,1994,707.581211093485,manure management
dairy cattle,0,9.22537824111426,0.49100203228121,AUT,1994,376.953061647657,manure management
non-dairy cattle,0,6.71492279417152,0.54615798520651,AUT,1994,330.628149445828,manure management
indirect n2o emissions,0,0,0.38760536115168,AUT,1994,115.506397623201,manure management
total livestock,0,199.866991043203,1.83955775469399,AUT,1995,5544.86298697887,total
enteric fermentation,0,178.509343508574,0,AUT,1995,4462.73358771434,total
cattle subtotal,0,170.496972870355,0,AUT,1995,4262.42432175889,enteric fermentation
dairy cattle,0,80.3832455688026,0,AUT,1995,2009.58113922006,enteric fermentation
non-dairy cattle,0,90.1137273015529,0,AUT,1995,2252.84318253882,enteric fermentation
manure management,0,21.357647534629,1.83955775469399,AUT,1995,1082.12939926453,total
cattle subtotal,0,15.8594007872607,1.05225475335273,AUT,1995,710.056936180632,manure management
dairy cattle,0,8.14490551396605,0.43287633886474,AUT,1995,332.619786830844,manure management
non-dairy cattle,0,7.71449527329468,0.61937841448799,AUT,1995,377.437149349788,manure management
indirect n2o emissions,0,0,0.39166649559188,AUT,1995,116.71661568638,manure management
total livestock,0,196.33592892077,1.80428258353187,AUT,1996,5446.07443291174,total
enteric fermentation,0,175.414360352723,0,AUT,1996,4385.35900881808,total
cattle subtotal,0,167.312732962683,0,AUT,1996,4182.81832406707,enteric fermentation
dairy cattle,0,79.6760166144229,0,AUT,1996,1991.90041536057,enteric fermentation
non-dairy cattle,0,87.63671634826,0,AUT,1996,2190.9179087065,enteric fermentation
manure management,0,20.9215685680465,1.80428258353187,AUT,1996,1060.71542409366,total
cattle subtotal,0,15.5632915578777,1.03221672083802,AUT,1996,696.682871756672,manure management
dairy cattle,0,8.05826233502528,0.42855622963114,AUT,1996,329.166314805712,manure management
non-dairy cattle,0,7.50502922285241,0.60366049120688,AUT,1996,367.516556950961,manure management
indirect n2o emissions,0,0,0.38622684599466,AUT,1996,115.095600106409,manure management
total livestock,0,193.034561389215,1.77810259917305,AUT,1997,5355.73860928395,total
enteric fermentation,0,172.416176911617,0,AUT,1997,4310.40442279042,total
cattle subtotal,0,164.099997966302,0,AUT,1997,4102.49994915755,enteric fermentation
dairy cattle,0,80.5172841334569,0,AUT,1997,2012.93210333642,enteric fermentation
non-dairy cattle,0,83.5827138328451,0,AUT,1997,2089.56784582113,enteric fermentation
manure management,0,20.6183844775982,1.77810259917305,AUT,1997,1045.33418649352,total
cattle subtotal,0,15.2363744647056,1.00451585816637,AUT,1997,680.255087351218,manure management
dairy cattle,0,8.10356899855914,0.43228221838747,AUT,1997,331.409326043445,manure management
non-dairy cattle,0,7.13280546614646,0.5722336397789,AUT,1997,348.845761307774,manure management
indirect n2o emissions,0,0,0.38838164852282,AUT,1997,115.7377312598,manure management
total livestock,0,192.062615072671,1.77576488755042,AUT,1998,5330.74331330679,total
enteric fermentation,0,171.406799042689,0,AUT,1998,4285.16997606723,total
cattle subtotal,0,163.213883513854,0,AUT,1998,4080.34708784635,enteric fermentation
dairy cattle,0,84.5888586126273,0,AUT,1998,2114.72146531568,enteric fermentation
non-dairy cattle,0,78.6250249012267,0,AUT,1998,1965.62562253067,enteric fermentation
manure management,0,20.6558160299816,1.77576488755042,AUT,1998,1045.57333723957,total
cattle subtotal,0,15.156003384073,0.99276359377214,AUT,1998,674.743635545924,manure management
dairy cattle,0,8.46476697852541,0.45233726142533,AUT,1998,346.415678367884,manure management
non-dairy cattle,0,6.69123640554763,0.54042633234681,AUT,1998,328.32795717804,manure management
indirect n2o emissions,0,0,0.39168128370886,AUT,1998,116.72102254524,manure management
total livestock,0,190.016787804735,1.72364454534326,AUT,1999,5264.06576963066,total
enteric fermentation,0,170.055726781186,0,AUT,1999,4251.39316952965,total
cattle subtotal,0,162.180957738684,0,AUT,1999,4054.5239434671,enteric fermentation
dairy cattle,0,81.7232372394892,0,AUT,1999,2043.08093098723,enteric fermentation
non-dairy cattle,0,80.4577204991947,0,AUT,1999,2011.44301247987,enteric fermentation
manure management,0,19.9610610235487,1.72364454534326,AUT,1999,1012.67260010101,total
cattle subtotal,0,14.9607872176854,0.98591044244601,AUT,1999,667.820992291046,manure management
dairy cattle,0,8.12587646911995,0.43435022802492,AUT,1999,332.583279679425,manure management
non-dairy cattle,0,6.83491074856547,0.55156021442109,AUT,1999,335.237712611622,manure management
indirect n2o emissions,0,0,0.38143806767626,AUT,1999,113.668544167526,manure management
total livestock,0,186.964910291202,1.70206887653759,AUT,2000,5181.33928248825,total
enteric fermentation,0,167.562209355517,0,AUT,2000,4189.05523388792,total
cattle subtotal,0,159.884190997771,0,AUT,2000,3997.10477494428,enteric fermentation
dairy cattle,0,73.2258615495181,0,AUT,2000,1830.64653873795,enteric fermentation
non-dairy cattle,0,86.6583294482529,0,AUT,2000,2166.45823620632,enteric fermentation
manure management,0,19.402700935685,1.70206887653759,AUT,2000,992.284048600327,total
cattle subtotal,0,14.6022940374311,0.98709167743346,AUT,2000,659.210670810949,manure management
dairy cattle,0,7.23355788580458,0.38785796224371,AUT,2000,296.42061989374,manure management
non-dairy cattle,0,7.36873615162653,0.59923371518975,AUT,2000,362.790050917209,manure management
indirect n2o emissions,0,0,0.37322901229798,AUT,2000,111.222245664798,manure management
total livestock,0,183.957618127949,1.69330637026285,AUT,2001,5103.54575153704,total
enteric fermentation,0,164.766166106235,0,AUT,2001,4119.15415265589,total
cattle subtotal,0,157.087265965808,0,AUT,2001,3927.18164914521,enteric fermentation
dairy cattle,0,71.3759693308582,0,AUT,2001,1784.39923327145,enteric fermentation
non-dairy cattle,0,85.7112966349503,0,AUT,2001,2142.78241587376,enteric fermentation
manure management,0,19.1914520217131,1.69330637026285,AUT,2001,984.391598881157,total
cattle subtotal,0,14.2826372490423,0.97014837915779,AUT,2001,646.170148215079,manure management
dairy cattle,0,6.9930855963078,0.37495471023724,AUT,2001,286.563643558393,manure management
non-dairy cattle,0,7.28955165273449,0.59519366892055,AUT,2001,359.606504656686,manure management
indirect n2o emissions,0,0,0.3762886581855,AUT,2001,112.134020139279,manure management
total livestock,0,180.181147722254,1.64974052642834,AUT,2002,4996.15136993198,total
enteric fermentation,0,161.497992491969,0,AUT,2002,4037.44981229922,total
cattle subtotal,0,154.028370152688,0,AUT,2002,3850.7092538172,enteric fermentation
dairy cattle,0,70.6404689781721,0,AUT,2002,1766.0117244543,enteric fermentation
non-dairy cattle,0,83.3879011745158,0,AUT,2002,2084.6975293629,enteric fermentation
manure management,0,18.6831552302847,1.64974052642834,AUT,2002,958.701557632762,total
cattle subtotal,0,13.9754182968736,0.94907511553048,AUT,2002,632.209841849922,manure management
dairy cattle,0,6.88991180500703,0.37077729157576,AUT,2002,282.739428014752,manure management
non-dairy cattle,0,7.08550649186652,0.57829782395472,AUT,2002,349.47041383517,manure management
indirect n2o emissions,0,0,0.36977003655095,AUT,2002,110.191470892183,manure management
total livestock,0,177.976467052904,1.6423960266349,AUT,2003,4938.84569225979,total
enteric fermentation,0,159.604254579488,0,AUT,2003,3990.1063644872,total
cattle subtotal,0,151.953360083793,0,AUT,2003,3798.83400209482,enteric fermentation
dairy cattle,0,67.5571018821236,0,AUT,2003,1688.92754705309,enteric fermentation
non-dairy cattle,0,84.3962582016693,0,AUT,2003,2109.90645504173,enteric fermentation
manure management,0,18.3722124734158,1.6423960266349,AUT,2003,948.739327772595,total
cattle subtotal,0,13.7132391966731,0.9426191681072,AUT,2003,623.731492012773,manure management
dairy cattle,0,6.54374578440729,0.35637928518735,AUT,2003,269.794671596013,manure management
non-dairy cattle,0,7.16949341226581,0.58623988291985,AUT,2003,353.936820416761,manure management
indirect n2o emissions,0,0,0.37223188046171,AUT,2003,110.92510037759,manure management
