Country,Year,CO2eq,N2O.PRP,CO2.PRP,kt.CO2,Total.Area.kha,Land.Use.EM,Total.CO2eq,Total.CO2eq.ha,CO2eq.ha
AUS,1990,12791.7532793924,25.8592342141878,7706.05179582797,5085.70148356444,39609.4178844738,45095.3748483609,50181.0763319254,1.26689759688681,0.128396269250853
AUS,1991,12526.6966856431,25.5437351053153,7612.03306138397,4914.66362425916,39654.2547412288,39717.3591506267,44632.0227748859,1.12552922923758,0.123937863826485
AUS,1992,12014.9608947532,24.5376392074585,7312.21648382264,4702.74441093053,39685.0790355008,26788.7330257842,31491.4774367147,0.793534451790902,0.118501576038784
AUS,1993,12015.1698375228,23.5670263040954,7022.97383862042,4992.19599890242,39702.1404803938,24534.6209026995,29526.8169016019,0.743708438495482,0.125741230535611
AUS,1994,12322.8347553143,23.4050621904047,6974.70853274059,5348.12622257374,39722.6598221798,21934.4320696364,27282.5582922102,0.686826068907311,0.134636659441106
AUS,1995,11515.1680073933,22.5178181172252,6710.30979893311,4804.85820846017,39739.6902421648,12887.6137065537,17692.4719150139,0.445209104731313,0.120908295439155
AUS,1996,12531.8488182682,22.8334387900989,6804.36475944948,5727.48405881869,39765.2173498948,14067.8895176034,19795.3735764221,0.497806246153322,0.144032509829444
AUS,1997,13208.3625869748,22.9046675044776,6825.59091633434,6382.77167064044,39791.4272298438,11692.6065591878,18075.3782298282,0.454253076307642,0.160405698287025
AUS,1998,13052.3646882087,22.6776825083273,6757.94938748154,6294.4153007272,39813.9278865918,4967.09815400242,11261.5134547296,0.282853615619327,0.158095813069652
AUS,1999,13465.1591914405,22.5406196904214,6717.10466774557,6748.05452369493,39835.6284051858,4846.72046493071,11594.7749886256,0.291065447008644,0.169397466385053
AUS,2000,14301.4390452,23.3018209763039,6943.94265093856,7357.49639426148,39849.0650441958,3293.01746616004,10650.5138604215,0.267271361288132,0.184634103362311
AUS,2001,14180.636989285,22.7339528323483,6774.71794403979,7405.91904524519,39868.3570793768,6129.49419606072,13535.4132413059,0.33950265907264,0.185759323628516
AUS,2002,14150.7342530544,22.5113649395415,6708.38675198336,7442.34750107106,39884.1882548698,6036.06857599034,13478.4160770614,0.337938834079586,0.186598946266942
AUS,2003,12512.3926292148,21.5221617937874,6413.60421454865,6098.78841466614,39899.8692324558,7491.210530685,13589.9989453511,0.340602593611926,0.15285234092209
AUS,2004,14099.9851461944,21.8835819806873,6521.3074302448,7578.67771594956,39914.4122813128,8265.18799167941,15843.865707629,0.396945985223658,0.189873213277846
AUS,2005,13869.7488235046,21.9549948482871,6542.58846478955,7327.16035871503,39933.8424461638,11528.3440511548,18855.5044098698,0.472168548150346,0.183482477765395
AUS,2006,13658.2165022488,21.1588802177366,6305.34630488552,7352.87019736332,39948.0072204448,10431.5134435629,17784.3836409262,0.445188255393737,0.184061001010339
AUS,2007,11971.1270645413,20.364202320858,6068.5322916157,5902.59477292557,39960.5437665958,10366.3245918423,16268.9193647679,0.407124574174777,0.147710571893161
AUS,2008,11987.7877874343,19.3011657455957,5751.74739218751,6236.04039524682,39967.1553441408,10292.3882324777,16528.4286277245,0.413550288615865,0.156029127956464
AUS,2009,12562.4763756623,19.0802612705282,5685.91785861739,6876.55851704492,39970.9955802408,11084.1524764482,17960.7109934931,0.449343598596073,0.172038710000115
AUS,2010,12508.9273358815,18.0450926589285,5377.43761236069,7131.48972352077,39971.2224462888,5069.68460307016,12201.1743265909,0.305248966127724,0.178415602202402
AUS,2011,13844.4299567856,18.9776955760176,5655.35328165325,8189.07667513232,39972.0201054498,6059.07684626738,14248.1535213997,0.356453176091971,0.20487022305925
AUS,2012,14313.725904775,19.4991432369297,5810.74468460506,8502.98122016991,39973.4755177468,3415.28455720749,11918.2657773774,0.29815435418134,0.21271558477308
AUS,2013,14265.0816786831,19.5725224040123,5832.61167639567,8432.47000228746,39976.1567170808,5539.73874438271,13972.2087466702,0.349513557432603,0.210937486111177
AUS,2014,14923.8582354046,19.3686939150059,5771.87078667177,9151.98744873286,39978.0648279108,5946.50261596761,15098.4900647005,0.377669357676348,0.228925224072962
AUS,2015,14267.3488096588,18.6550539522372,5559.20607776669,8708.14273189213,39975.5257437688,1663.11037565692,10371.253107549,0.259440067756099,0.217836853171331
AUS,2016,14591.7089239282,18.3023292755567,5454.09412411591,9137.61479981228,39976.6427956738,-2959.63753068475,6177.97726912753,0.154539672095629,0.228573841143087
AUS,2017,16149.2751294366,18.9220763213816,5638.77874377173,10510.4963856649,39971.6251716428,-3199.27564701595,7311.22073864891,0.182910269653878,0.262948937916123
AUS,2018,14723.4313730168,18.8268965967584,5610.415185834,9113.01618718285,39971.8801828138,-2908.47450500855,6204.5416821743,0.155222662876939,0.227985677568929
AUS,2019,13847.3323389472,17.5569859080004,5231.98180058413,8615.35053836309,39972.9476785118,-3129.35374799965,5485.99679036344,0.137242738125928,0.215529527810991
AUS,2020,13844.3023324124,16.9191632177255,5041.9106388822,8802.3916935302,39973.8291121448,2643.24659766027,11445.6382911905,0.286328293921511,0.220203865605056
AUS,2021,16426.0256829669,17.7515609937767,5289.96517614545,11136.0605068215,39970.6790565598,5083.89592370847,16219.95643053,0.405796369072894,0.278605737247136
