Type.A,Year,Country,Population,EM.CH4,GE,Ym,Weight,Milk Yield,EM.CO2eq,N.Pasture,CH4.MM,N2O.MM,Indirect.N2O,EF3.PRP,FracGASM,FracLEACH,EF4.NVOL,EF5.Leaching,PRP.N2O,PRP.Vol,PRP.Leach,PRP.Ind,EM.MM,Total Emissions kt.CO2.eq,kg.CO2.eq/head,head/day,Mcal,EM/Mcal,EM/kg,EM/kg.Milk
Dairy Cattle,1990,AUS,2561.935,213.682368541676,205.304837547306,6.14617407192314,438.18535468394,10.6719541750138,5342.0592135419,262303092.9404,18.1438842421012,0.0249910472582705,0.05786846453832,0.004,0.21,0.24,0.00270910101578037,0.0109860201252233,1.64876229848251,0.234499839923966,1.0868001475703,1.32129998749427,1363.367801789,6705.4270153309,2617.32909512962,7.17076464419073,49.0690338306181,0.146136250999838,5.97310947787718,0.671926108995072
Dairy Cattle,1990,AUT,904.617,97.8802758211743,253.798696422202,6.5,676.0571025,10.386301369863,2447.00689552936,8771646.7519493,10.2420240780702,0.54411899441119,0.173859869135202,0.01877715654248,0.1606097616408,0.15154,0.01,0.0075,0.258824632309082,0.0221384757632952,0.0156662237536011,0.0378046995168963,558.403844172721,3005.41073970208,3322.3018578051,9.10219687069891,60.6593442691688,0.150054323540145,4.91423260774796,0.876365565234794
Dairy Cattle,1990,BEL,838.7,73.8761296462497,220.160782917613,6.1,623.006200071539,11.1534789852884,1846.90324115624,34248369.1642192,9.316817342159,0.70848507495354,0.158174541002744,0.01968930450565,0.15604442931773,0.3,0.01,0.00750003099835,1.0596560374655,0.0839813420488983,0.121092948605158,0.205074290654057,868.074636888575,2714.97787804482,3237.12635989605,8.86883934218096,52.6196899898693,0.168546020394427,5.19597775997146,0.795163495970994
Dairy Cattle,1990,BGR,619.1445,64.8031480806111,245.506521098561,6.5,588,11.1248073409172,1620.07870201528,11774261.495972,10.2331688978461,0.38193306878593,0.297089046181829,0.01204311026971,0.2,0.3,0.01,0.0075,0.222826574992044,0.0370048218444834,0.0416304245750439,0.0786352464195273,548.013435487194,2168.09213750247,3501.7546590537,9.59384838096903,58.6774668017593,0.163501406994642,5.95536506641785,0.862383328265174
Dairy Cattle,1990,BLR,2439,235.246952093714,226.240917096051,6.5,550,8.37808219178082,5881.17380234286,71975499.75,9.95118986743962,0.78095865375,0.646812072358905,0.01943195309775,0.2,0.3,0.01,0.0075,2.19783855551718,0.2262087135,0.2544848026875,0.4806935161875,1472.45798043444,7353.6317827773,3015.0191811305,8.26032652364522,54.0728769350027,0.152762845105771,5.48185305660092,0.985944794352683
Dairy Cattle,1990,CAN,1370.15,158.139908531792,307.082332587006,5.79923009185733,655.362310543227,21.3683290884678,3953.49771329479,26946822.6050189,17.2988761955476,1.73778173437806,0.474328408727718,0.00198907589579,0.19358771475896,0.19016234865211,0.00865351833765,0.0075,0.0842274326327849,0.0709369840272926,0.0603931948158255,0.131330178843118,1155.91689575403,5109.41460904883,3729.09141995316,10.2166888217895,73.3944389548294,0.139202492277069,5.69012187603851,0.478122963170915
Dairy Cattle,1990,CHE,783.1,90.4375548938,255.1847997,6.9,637.4861069,13.213667,2260.938872345,6497183.658,11.940554662427,0.3202965884945,0.436741891370781,0.00572605350864,0.170440737,0.20608225,0.02482090908818,0.01100000000273,0.058462204870409,0.0431927520026453,0.0231447802136539,0.0663375322162992,561.301655212368,2822.24052755737,3603.93376012944,9.87379112364231,60.9906309034417,0.161890293269374,5.65335263172218,0.747240801788203
Dairy Cattle,1990,CYP,22.411,2.214,231.767,6.5,550,12.2192,55.35,0,0.41590963765654,0.01696768825714,0.00916991450006356,0.004,0.2,0,0.01,0.00225,0,0,0,0,18.1867465630602,73.5367465630602,3281.2791291357,8.98980583324849,55.3936424474187,0.162289487314034,5.965962052974,0.735711489561386
Dairy Cattle,1990,CZE,1206.218,117.711361160757,228.903020923718,6.5,520,10.967,2942.78402901892,4762563.9001129,16.9285314267509,0.69601469568793,0.569379529116761,0.01853301108462,0.2,0.3,0.00999999999994,0.0075,0.138701592153148,0.0149680579716936,0.0168390652182563,0.0318071231899499,851.112361832813,3793.89639085174,3145.28252011804,8.61721238388503,54.7091350200092,0.157509570947035,6.04862023099622,0.785740164482997
Dairy Cattle,1990,DEU,6354.555,708.729851086267,241.34654,7.05641,566.89073,12.87655,17718.2462771567,118596289.43691,88.1700107276301,3.20733433224099,1.33350063995167,0.01909792007558,0.19866,0.3,0.01,0.00749999981818,3.55919528945587,0.370233896364146,0.419322584629291,0.789556480993437,4853.34711749806,22571.5933946547,3552.03368208391,9.73159912899702,57.683207456979,0.168707663079502,6.26581719211375,0.755761374669226
